2026-04-16 14:52:49,558 | INFO     | hdmr.forecast | Using CPU (no CUDA available or USE_GPU=auto)
2026-04-16 14:52:49,558 | INFO     | hdmr.forecast | ======================================================================
2026-04-16 14:52:49,558 | INFO     | hdmr.forecast | FORECAST HPO  run_id=20260416_145246
2026-04-16 14:52:49,558 | INFO     | hdmr.forecast |   Datasets  : ['payten', 'medianova']
2026-04-16 14:52:49,558 | INFO     | hdmr.forecast |   Models    : ['ARIMA']
2026-04-16 14:52:49,558 | INFO     | hdmr.forecast |   Methods   : ['HDMR-200', 'A-HDMR-200', 'A-HDMR-600', 'RS-200', 'Optuna-200']
2026-04-16 14:52:49,559 | INFO     | hdmr.forecast |   HORIZON=30  N_FOLDS=3  HDMR_SAMPLES=200  OPTUNA_TRIALS=200  RS_SAMPLES=200  SEED=42
2026-04-16 14:52:49,559 | INFO     | hdmr.forecast | ======================================================================
2026-04-16 14:52:49,570 | INFO     | hdmr.forecast | Loaded 'Payten (Transactions)': 2100 rows, target='transactions', special_days=86 entries
2026-04-16 14:52:49,608 | INFO     | hdmr.forecast | 
[Payten (Transactions)]  2070 rows after engineering  16 features  3 folds
2026-04-16 14:52:49,609 | INFO     | hdmr.forecast |   ┌─ [payten][ARIMA][HDMR-200] fold 1/3  (train=1370  test=30)
2026-04-16 15:09:43,208 | INFO     | hdmr.forecast |   └─ MAPE=11.57%  RMSE=1.3109  MAE=0.9405  best_val=1.2514  evals=201  1013.6s  ETA: 3:56:30
2026-04-16 15:09:43,212 | INFO     | hdmr.forecast |   ┌─ [payten][ARIMA][HDMR-200] fold 2/3  (train=1705  test=30)
2026-04-16 15:30:36,534 | INFO     | hdmr.forecast |   └─ MAPE=7.30%  RMSE=1.3733  MAE=1.0696  best_val=1.1200  evals=201  1253.3s  ETA: 4:05:35
2026-04-16 15:30:36,538 | INFO     | hdmr.forecast |   ┌─ [payten][ARIMA][HDMR-200] fold 3/3  (train=2040  test=30)
2026-04-16 15:54:10,161 | INFO     | hdmr.forecast |   └─ MAPE=3.01%  RMSE=0.6054  MAE=0.4905  best_val=1.4187  evals=201  1413.6s  ETA: 4:05:22
2026-04-16 15:54:10,164 | INFO     | hdmr.forecast |   [payten][ARIMA][HDMR-200]  MAPE=7.29±3.49  RMSE=1.0965  MAE=0.8335
2026-04-16 15:54:10,165 | INFO     | hdmr.forecast |   ┌─ [payten][ARIMA][A-HDMR-200] fold 1/3  (train=1370  test=30)
2026-04-16 16:27:50,637 | INFO     | hdmr.forecast |   └─ MAPE=12.24%  RMSE=1.3208  MAE=0.9516  best_val=1.1870  evals=402  2020.5s  ETA: 4:46:27
2026-04-16 16:27:50,640 | INFO     | hdmr.forecast |   ┌─ [payten][ARIMA][A-HDMR-200] fold 2/3  (train=1705  test=30)
2026-04-16 16:49:43,908 | INFO     | hdmr.forecast |   └─ MAPE=5.53%  RMSE=1.1001  MAE=0.7913  best_val=1.0371  evals=402  1313.3s  ETA: 4:23:44
2026-04-16 16:49:43,911 | INFO     | hdmr.forecast |   ┌─ [payten][ARIMA][A-HDMR-200] fold 3/3  (train=2040  test=30)
2026-04-16 17:21:43,919 | INFO     | hdmr.forecast |   └─ MAPE=3.19%  RMSE=0.6271  MAE=0.5174  best_val=1.4536  evals=402  1920.0s  ETA: 4:22:41
2026-04-16 17:21:43,922 | INFO     | hdmr.forecast |   [payten][ARIMA][A-HDMR-200]  MAPE=6.99±3.84  RMSE=1.0160  MAE=0.7534
2026-04-16 17:21:43,923 | INFO     | hdmr.forecast |   ┌─ [payten][ARIMA][A-HDMR-600] fold 1/3  (train=1370  test=30)
2026-04-16 18:47:45,353 | INFO     | hdmr.forecast |   └─ MAPE=12.03%  RMSE=1.2950  MAE=0.9352  best_val=1.1705  evals=1003  5161.4s  ETA: 6:13:05
2026-04-16 18:47:45,356 | INFO     | hdmr.forecast |   ┌─ [payten][ARIMA][A-HDMR-600] fold 2/3  (train=1705  test=30)
2026-04-16 19:45:20,433 | INFO     | hdmr.forecast |   └─ MAPE=5.82%  RMSE=1.1402  MAE=0.8372  best_val=1.0442  evals=602  3455.1s  ETA: 6:49:45
2026-04-16 19:45:20,436 | INFO     | hdmr.forecast |   ┌─ [payten][ARIMA][A-HDMR-600] fold 3/3  (train=2040  test=30)
2026-04-16 20:32:08,487 | INFO     | hdmr.forecast |   └─ MAPE=6.53%  RMSE=1.2680  MAE=1.0741  best_val=1.5373  evals=602  2808.1s  ETA: 6:20:49
2026-04-16 20:32:08,490 | INFO     | hdmr.forecast |   [payten][ARIMA][A-HDMR-600]  MAPE=8.13±2.77  RMSE=1.2344  MAE=0.9488
2026-04-16 20:32:08,491 | INFO     | hdmr.forecast |   ┌─ [payten][ARIMA][RS-200] fold 1/3  (train=1370  test=30)
2026-04-16 20:48:24,893 | INFO     | hdmr.forecast |   └─ MAPE=12.08%  RMSE=1.3032  MAE=0.9382  best_val=1.1703  evals=200  976.4s  ETA: 3:21:05
2026-04-16 20:48:24,897 | INFO     | hdmr.forecast |   ┌─ [payten][ARIMA][RS-200] fold 2/3  (train=1705  test=30)
2026-04-16 21:08:17,554 | INFO     | hdmr.forecast |   └─ MAPE=6.85%  RMSE=1.2828  MAE=0.9987  best_val=0.9941  evals=200  1192.7s  ETA: 1:50:36
2026-04-16 21:08:17,558 | INFO     | hdmr.forecast |   ┌─ [payten][ARIMA][RS-200] fold 3/3  (train=2040  test=30)
2026-04-16 21:31:44,730 | INFO     | hdmr.forecast |   └─ MAPE=3.18%  RMSE=0.6169  MAE=0.5128  best_val=1.3493  evals=200  1407.2s  ETA: 0:59:36
2026-04-16 21:31:44,733 | INFO     | hdmr.forecast |   [payten][ARIMA][RS-200]  MAPE=7.37±3.65  RMSE=1.0676  MAE=0.8166
2026-04-16 21:31:44,734 | INFO     | hdmr.forecast |   ┌─ [payten][ARIMA][Optuna-200] fold 1/3  (train=1370  test=30)
2026-04-16 21:38:16,213 | INFO     | hdmr.forecast |   └─ MAPE=11.92%  RMSE=1.2918  MAE=0.9239  best_val=1.1687  evals=200  391.5s  ETA: 0:33:14
2026-04-16 21:38:16,216 | INFO     | hdmr.forecast |   ┌─ [payten][ARIMA][Optuna-200] fold 2/3  (train=1705  test=30)
