method,seed,metrics,params,time,evaluations
default,42,"{'mse': 3.7078620391057124, 'rmse': 1.9255809614518191, 'mae': 1.4324898733129374, 'mape': 9.663572217145418, 'smape': 4.950843780585088, 'mase': 1.3050830242235523}","{'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'gamma': 0}",3.0899887084960938,1
default,43,"{'mse': 3.7078620391057124, 'rmse': 1.9255809614518191, 'mae': 1.4324898733129374, 'mape': 9.663572217145418, 'smape': 4.950843780585088, 'mase': 1.3050830242235523}","{'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'gamma': 0}",0.2047877311706543,1
default,44,"{'mse': 3.7078620391057124, 'rmse': 1.9255809614518191, 'mae': 1.4324898733129374, 'mape': 9.663572217145418, 'smape': 4.950843780585088, 'mase': 1.3050830242235523}","{'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'gamma': 0}",0.2038743495941162,1
random_search,42,"{'mse': 3.6843048963307585, 'rmse': 1.9194543225434562, 'mae': 1.4007233600881408, 'mape': 9.417947748412987, 'smape': 4.846243782152221, 'mase': 1.2761418512904588}","{'learning_rate': 0.011748439548007032, 'max_depth': 3, 'subsample': 0.8059264473611898, 'colsample_bytree': 0.569746930326021, 'min_child_weight': 3, 'gamma': 1.8318092164684585}",21.03469204902649,20
random_search,43,"{'mse': 4.000008699137983, 'rmse': 2.0000021747833134, 'mae': 1.4011746855717737, 'mape': 9.250800835728533, 'smape': 4.824258527085605, 'mase': 1.2765530355075776}","{'learning_rate': 0.04466694238260033, 'max_depth': 5, 'subsample': 0.5145069122121801, 'colsample_bytree': 0.8668741481401414, 'min_child_weight': 4, 'gamma': 4.0102355931433324}",15.009523391723633,20
random_search,44,"{'mse': 3.245077432231427, 'rmse': 1.8014098457129146, 'mae': 1.2916742070618465, 'mape': 9.00765362552636, 'smape': 4.4768379654625985, 'mase': 1.176791621266541}","{'learning_rate': 0.09865638957001455, 'max_depth': 4, 'subsample': 0.7578687128109197, 'colsample_bytree': 0.5294494606860387, 'min_child_weight': 7, 'gamma': 0.3625390669881806}",13.010404109954834,20
optuna,42,{'mape': 9.069898141770656},"{'learning_rate': 0.11536162338241392, 'max_depth': 3, 'subsample': 0.5909124836035503, 'colsample_bytree': 0.5917022549267169, 'min_child_weight': 4, 'gamma': 2.6237821581611893}",13.270768880844116,20
optuna,43,{'mape': 9.051515029900887},"{'learning_rate': 0.15530916870005487, 'max_depth': 2, 'subsample': 0.787031282886308, 'colsample_bytree': 0.5619704546709356, 'min_child_weight': 9, 'gamma': 2.122266239422579}",10.664266347885132,20
optuna,44,{'mape': 9.189378304587905},"{'learning_rate': 0.06628561721682126, 'max_depth': 5, 'subsample': 0.5852008992153176, 'colsample_bytree': 0.6264052258510073, 'min_child_weight': 6, 'gamma': 1.0217394883367925}",10.664353609085083,20
hdmr_standard,42,"{'mse': 3.8000560696033325, 'rmse': 1.94937325045855, 'mae': 1.4010614418086063, 'mape': 9.60307387632908, 'smape': 4.8163313251734845, 'mase': 1.2764498637395516}","{'learning_rate': 0.15049989225964447, 'max_depth': 9, 'subsample': 0.8677906561300326, 'colsample_bytree': 0.8411124150799074, 'min_child_weight': 3, 'gamma': 1.7425338891329296}",44.56806683540344,200
hdmr_standard,43,"{'mse': 3.764029495884959, 'rmse': 1.9401106916578135, 'mae': 1.3528180536170225, 'mape': 9.006204185719714, 'smape': 4.662034280972166, 'mase': 1.2324972828991363}","{'learning_rate': 0.02917565370546399, 'max_depth': 5, 'subsample': 0.5421204724724624, 'colsample_bytree': 0.6550230536931085, 'min_child_weight': 4, 'gamma': 3.323036568487655}",46.81391429901123,200
hdmr_standard,44,"{'mse': 4.120225832883779, 'rmse': 2.0298339421942324, 'mae': 1.531565484437915, 'mape': 10.339404976047815, 'smape': 5.3967698369064045, 'mase': 1.3953467675160225}","{'learning_rate': 0.2240905495502826, 'max_depth': 2, 'subsample': 0.9156148888841044, 'colsample_bytree': 0.7900253451429445, 'min_child_weight': 3, 'gamma': 3.1051962807298197}",45.4179151058197,200
hdmr_adaptive,42,"{'mse': 3.950714165013495, 'rmse': 1.987640351022663, 'mae': 1.3886441564898497, 'mape': 9.258225034010183, 'smape': 4.766155349501468, 'mase': 1.265136982176926}","{'learning_rate': 0.08620988436182361, 'max_depth': 5, 'subsample': 0.775048461298626, 'colsample_bytree': 0.8664852845527621, 'min_child_weight': 4, 'gamma': 1.687664394423087}",741.9078598022461,5000
hdmr_adaptive,43,"{'mse': 3.764029495884959, 'rmse': 1.9401106916578135, 'mae': 1.3528180536170225, 'mape': 9.006204185719714, 'smape': 4.662034280972166, 'mase': 1.2324972828991363}","{'learning_rate': 0.02917565370546399, 'max_depth': 5, 'subsample': 0.5421204724724624, 'colsample_bytree': 0.6550230536931085, 'min_child_weight': 4, 'gamma': 3.323036568487655}",811.8534903526306,5000
hdmr_adaptive,44,"{'mse': 3.428729070835466, 'rmse': 1.8516827673323166, 'mae': 1.289687565389143, 'mape': 8.697114224219318, 'smape': 4.435187042029861, 'mase': 1.1749816731680849}","{'learning_rate': 0.18772645687058626, 'max_depth': 5, 'subsample': 0.7838616368907888, 'colsample_bytree': 0.5993565266955051, 'min_child_weight': 6, 'gamma': 2.412038251415247}",829.1977598667145,5000
