run_id,dataset,model,method,fold,mape,rmse,mae,best_val,duration_sec,n_evals,param_p,param_d,param_q,param_P,param_Q,param_hidden_size,param_n_layers,param_dropout,param_learning_rate,param_batch_size,param_n_blocks,param_theta_size
20260416_132011,payten,ARIMA,HDMR-200,1,,,,1000000.0,0.79,21,0.0,0.0,0.0,0.0,0.0,,,,,,,
20260416_132011,payten,ARIMA,HDMR-200,2,,,,1000000.0,0.77,21,0.0,0.0,0.0,0.0,0.0,,,,,,,
20260416_132011,payten,ARIMA,RS-200,1,,,,1000000.0,0.04,20,2.0,2.0,3.0,0.0,1.0,,,,,,,
20260416_132011,payten,ARIMA,RS-200,2,,,,1000000.0,0.04,20,1.0,0.0,3.0,2.0,1.0,,,,,,,
20260416_132011,payten,ARIMA,Optuna-200,1,,,,1000000.0,0.18,20,1.0,2.0,3.0,1.0,0.0,,,,,,,
20260416_132011,payten,ARIMA,Optuna-200,2,,,,1000000.0,0.18,20,0.0,1.0,0.0,0.0,0.0,,,,,,,
20260416_132011,payten,GRU,HDMR-200,1,5.9376,0.8855,0.7128,0.8779245955645231,73.37,21,,,,,,191.0,1.0,0.060337171859584746,0.00016604563634993797,100.0,,
20260416_132011,payten,GRU,HDMR-200,2,6.0649,1.2081,0.9447,0.7488887024098487,116.98,21,,,,,,256.0,2.0,0.0,0.00019578530438182644,16.0,,
20260416_132011,payten,GRU,RS-200,1,8.1756,1.0141,0.9365,0.8572649975163131,69.48,20,,,,,,186.0,2.0,0.28188001457601786,0.0005042268342739617,58.0,,
20260416_132011,payten,GRU,RS-200,2,7.5512,1.2541,1.1556,0.7242234016935712,103.02,20,,,,,,171.0,3.0,0.1579066519625485,0.00013343057497395734,35.0,,
20260416_132011,payten,GRU,Optuna-200,1,6.6762,0.976,0.807,0.8525833520385613,99.41,20,,,,,,224.0,2.0,0.16327010763901342,0.0001483098982048627,16.0,,
20260416_132011,payten,GRU,Optuna-200,2,9.9235,1.6498,1.532,0.712387409014441,133.59,20,,,,,,212.0,3.0,0.2626278355535727,0.00016144994436962753,23.0,,
20260416_132011,payten,N-BEATS,HDMR-200,1,14.1042,1.8603,1.6308,0.6829973507462557,108.18,21,,,,,,32.0,5.0,,0.010000000000000004,112.0,5.0,10.0
20260416_132011,payten,N-BEATS,HDMR-200,2,32.6691,5.331,5.1968,0.47238086528119655,202.32,21,,,,,,386.0,5.0,,0.010000000000000004,16.0,6.0,37.0
20260416_132011,payten,N-BEATS,RS-200,1,9.5959,1.2642,1.1126,0.6660511980596815,109.19,20,,,,,,246.0,3.0,,0.00014136501052930409,28.0,5.0,12.0
20260416_132011,payten,N-BEATS,RS-200,2,13.0648,2.085,2.0456,0.445166396550623,144.33,20,,,,,,444.0,4.0,,0.0012369616805514906,91.0,4.0,23.0
20260416_132011,payten,N-BEATS,Optuna-200,1,12.8453,1.688,1.4813,0.6725663686640523,127.44,20,,,,,,92.0,4.0,,0.0037433095612438585,61.0,4.0,22.0
20260416_132011,payten,N-BEATS,Optuna-200,2,9.2887,1.7474,1.4705,0.45759710511228896,122.84,20,,,,,,92.0,4.0,,0.0010098683425894108,36.0,3.0,9.0
