run_id,dataset,model,method,fold,mape,rmse,mae,best_val,duration_sec,n_evals,param_p,param_d,param_q,param_P,param_Q
20260416_145246,payten,ARIMA,HDMR-200,1,11.5665,1.3109,0.9405,1.2514153348037345,1013.6,201,0,0,1,2,0
20260416_145246,payten,ARIMA,HDMR-200,2,7.3009,1.3733,1.0696,1.1199560779551512,1253.32,201,4,1,1,2,2
20260416_145246,payten,ARIMA,HDMR-200,3,3.0127,0.6054,0.4905,1.4187179077454553,1413.62,201,4,0,4,0,2
20260416_145246,payten,ARIMA,A-HDMR-200,1,12.2449,1.3208,0.9516,1.1870447905146495,2020.47,402,2,0,3,2,2
20260416_145246,payten,ARIMA,A-HDMR-200,2,5.5251,1.1001,0.7913,1.037059978447662,1313.27,402,0,1,1,0,1
20260416_145246,payten,ARIMA,A-HDMR-200,3,3.188,0.6271,0.5174,1.4535573914050621,1920.01,402,1,0,4,0,1
20260416_145246,payten,ARIMA,A-HDMR-600,1,12.0301,1.295,0.9352,1.1705325020448312,5161.43,1003,0,1,3,2,2
20260416_145246,payten,ARIMA,A-HDMR-600,2,5.8227,1.1402,0.8372,1.0442311440388827,3455.08,602,0,1,1,2,2
20260416_145246,payten,ARIMA,A-HDMR-600,3,6.5321,1.268,1.0741,1.537291216585155,2808.05,602,3,0,0,0,0
20260416_145246,payten,ARIMA,RS-200,1,12.0841,1.3032,0.9382,1.1702953712981505,976.4,200,1,1,1,2,2
20260416_145246,payten,ARIMA,RS-200,2,6.8457,1.2828,0.9987,0.9941450931192624,1192.66,200,3,0,3,0,1
20260416_145246,payten,ARIMA,RS-200,3,3.1819,0.6169,0.5128,1.349320653867345,1407.17,200,2,2,2,1,2
20260416_145246,payten,ARIMA,Optuna-200,1,11.9245,1.2918,0.9239,1.1686648081237136,391.48,200,1,1,1,0,1
20260416_145246,payten,ARIMA,Optuna-200,2,5.2581,1.0319,0.7363,1.0174702141948988,1895.54,200,4,1,2,0,2
20260416_145246,payten,ARIMA,Optuna-200,3,3.105,0.6148,0.501,1.353122921195936,3169.05,200,3,2,3,0,2
20260416_145246,medianova,ARIMA,HDMR-200,1,16.7506,0.8127,0.6785,0.35085773594572056,1063.2,201,4,2,4,0,0
20260416_145246,medianova,ARIMA,HDMR-200,2,4.3216,0.311,0.2405,0.3336568082327707,1314.1,201,4,2,3,0,1
20260416_145246,medianova,ARIMA,HDMR-200,3,5.4724,0.4357,0.3084,0.4384701745073441,1506.74,201,4,0,4,2,2
20260416_145246,medianova,ARIMA,A-HDMR-200,1,11.6934,0.5689,0.4674,0.23827267788776452,1090.09,302,0,0,1,0,0
20260416_145246,medianova,ARIMA,A-HDMR-200,2,4.2941,0.3117,0.2385,0.3319060343722293,1489.74,402,0,1,1,0,1
20260416_145246,medianova,ARIMA,A-HDMR-200,3,5.4724,0.4357,0.3084,0.4384701745073441,2965.32,302,4,0,4,2,2
20260416_145246,medianova,ARIMA,A-HDMR-600,1,9.8031,0.5011,0.3978,0.23503608791188005,5179.42,1003,0,1,2,1,2
20260416_145246,medianova,ARIMA,A-HDMR-600,2,4.2881,0.3108,0.2383,0.33368129523444107,5272.29,1003,0,2,2,0,1
20260416_145246,medianova,ARIMA,A-HDMR-600,3,5.8798,0.4527,0.3306,0.43604253287519357,7506.63,1203,1,0,4,0,2
20260416_145246,medianova,ARIMA,RS-200,1,10.249,0.5195,0.4153,0.22938085670482852,1059.36,200,3,0,3,0,0
20260416_145246,medianova,ARIMA,RS-200,2,42.787,2.7389,2.3781,0.29394983592519514,1307.18,200,3,2,0,1,1
20260416_145246,medianova,ARIMA,RS-200,3,5.8714,0.4481,0.3282,0.423016478247487,1470.53,200,3,1,4,0,0
20260416_145246,medianova,ARIMA,Optuna-200,1,9.5808,0.4885,0.3881,0.23397464744279187,867.37,200,0,2,1,1,2
20260416_145246,medianova,ARIMA,Optuna-200,2,25.6378,1.6552,1.4342,0.3051160986720436,1562.56,200,0,1,0,0,0
20260416_145246,medianova,ARIMA,Optuna-200,3,5.4401,0.4436,0.309,0.4232311004688915,1959.03,200,3,1,3,2,2
