run_id,dataset,model,method,fold,mape,rmse,mae,best_val,duration_sec,n_evals,param_hidden_size,param_n_layers,param_dropout,param_learning_rate,param_batch_size,param_n_blocks,param_theta_size
20260416_145256,payten,GRU,HDMR-200,1,21.0637,2.2195,1.9962,1.1421173992640958,526.25,201,256,3,0.44074148352052056,0.010000000000000004,16,,
20260416_145256,payten,GRU,HDMR-200,2,20.9985,3.2803,2.9947,0.9839728911647045,733.51,201,238,1,0.09008264447817113,0.010000000000000004,107,,
20260416_145256,payten,GRU,HDMR-200,3,10.9222,2.0224,1.7502,1.0891503209699782,884.27,201,256,3,0.5,0.0023803577032181365,19,,
20260416_145256,payten,GRU,A-HDMR-200,1,10.9742,1.1448,0.9705,1.2101062505747393,1213.33,402,256,3,0.5,0.0003872875673750773,60,,
20260416_145256,payten,GRU,A-HDMR-200,2,21.8215,3.4071,3.099,0.9440285341124687,999.45,302,227,2,0.5,0.0016719324830866554,128,,
20260416_145256,payten,GRU,A-HDMR-200,3,10.55,2.0229,1.7044,0.9875089922628336,1529.84,302,256,3,0.35246649427166554,0.0005044540027971015,20,,
20260416_145256,payten,GRU,A-HDMR-600,1,11.9908,1.225,1.0637,1.202849715805036,4318.02,1003,228,2,0.007784733159347371,0.00036659547828666743,16,,
20260416_145256,payten,GRU,A-HDMR-600,2,20.9013,3.1907,2.9625,0.9608483001743179,6818.51,1203,247,3,0.11757072133590969,0.0002811454504231839,25,,
20260416_145256,payten,GRU,A-HDMR-600,3,11.927,2.2117,1.9207,1.0190658383985933,6768.75,1203,243,2,0.29725846649663634,0.0010195975581523732,23,,
20260416_145256,payten,GRU,RS-200,1,9.9938,1.0376,0.8401,1.1036036093416055,473.17,200,172,1,0.47972815949469805,0.0019937882213856084,116,,
20260416_145256,payten,GRU,RS-200,2,22.9814,3.5071,3.2432,0.8983498903764603,743.75,200,143,2,0.0357712572440505,0.0026942434321157965,32,,
20260416_145256,payten,GRU,RS-200,3,12.113,2.2111,1.9457,0.9509305549942122,830.5,200,133,2,0.4162759776227176,0.003801049230708426,55,,
20260416_145256,payten,GRU,Optuna-200,1,10.6229,1.0966,0.9198,1.0137509588949651,280.34,200,222,1,0.3630092538736444,0.0027602890462601337,62,,
20260416_145256,payten,GRU,Optuna-200,2,20.532,3.1371,2.9196,0.8829514048176721,1873.73,200,243,3,0.33481818709997807,0.00011734458672802128,64,,
20260416_145256,payten,GRU,Optuna-200,3,12.6902,2.2608,2.0397,0.9216904859643864,1927.61,200,256,3,0.4233591332664623,0.0007459831413299621,27,,
