Model,Optimization_Metric,Optimization_Time_s,Function_Evals,MAE,MAPE,RMSE,MSE
ARIMA,MAE,412.76,200,3.054958,19.90927,3.808327,14.503356
ARIMA,MAPE,409.16,200,3.054958,19.90927,3.808327,14.503356
ARIMA,RMSE,406.66,200,3.054958,19.90927,3.808327,14.503356
ETS,MAE,163.83,200,2.013056,13.771152,2.639323,6.966027
ETS,MAPE,157.86,200,2.022032,13.82889,2.644329,6.992475
ETS,RMSE,157.25,200,2.022032,13.82889,2.644329,6.992475
LIGHTGBM,MAE,646.63,200,1.899619,12.723548,2.542885,6.466264
LIGHTGBM,MAPE,648.33,200,1.899619,12.723548,2.542885,6.466264
LIGHTGBM,RMSE,649.67,200,1.899619,12.723548,2.542885,6.466264
XGBOOST,MAE,171.98,200,1.561528,10.359864,2.174479,4.728361
XGBOOST,MAPE,145.04,200,1.570369,10.336508,2.192604,4.807514
XGBOOST,RMSE,161.29,200,1.561528,10.359864,2.174479,4.728361
