run_id,dataset,task,method,adaptive,total_evals,fold,seed,best_val,n_evals,duration_sec,rmse,mae,r2,sens_learning_rate,sens_feature_fraction,sens_bagging_fraction,sens_num_leaves,sens_min_data_in_leaf,sens_extra_trees,sens_min_data_per_group,sens_cat_l2,sens_cat_smooth,sens_max_cat_to_onehot,sens_lambda_l1,sens_lambda_l2,param_learning_rate,param_feature_fraction,param_bagging_fraction,param_num_leaves,param_min_data_in_leaf,param_extra_trees,param_min_data_per_group,param_cat_l2,param_cat_smooth,param_max_cat_to_onehot,param_lambda_l1,param_lambda_l2,param_bagging_freq,param_feature_pre_filter,conv_10,conv_25,conv_50,conv_100,conv_150,conv_200,auc,accuracy,logloss
20260327_001755,QSAR_fish_toxicity,regression,HDMR-200,False,200,1,42,0.6552539904511934,201,36.6,0.9133752256689105,0.659915905862025,0.6371573907710734,0.002981792967664126,0.053845988481229574,0.0035555570417190323,0.358742070637218,0.4406696873714454,0.040281466214263324,0.03478781140657796,0.018056925318344772,0.013334979133148963,0.003736151335872454,0.013339117229409515,0.01666845286310682,0.10000000000000002,0.7059045774590977,0.7,22,10,False,15,0.06069831479897099,0.0015160289925972435,8,1.0,2.0,1,False,0.6644555688944368,0.6644245552600473,0.6552539904511934,0.6552539904511934,0.6552539904511934,0.6552539904511934,,,
20260327_001755,QSAR_fish_toxicity,regression,HDMR-200,False,200,2,42,0.5298183988897419,201,26.87,0.9201996045711832,0.7017502430889647,0.6644090807752521,0.028479334888707943,0.31370690953497626,0.0016199446190777141,0.34872084010161475,0.21320522550095491,0.005011063221457935,0.021131197051370416,0.012021217797942432,0.006746868809582759,0.01878154333736471,0.011981139336783648,0.01859471580016654,0.036861068299610326,0.680863764210377,0.7585171491495015,13,1,True,100,0.0667484523045244,2.522210817896323,100,1.0,0.0001,1,False,0.5298183988897419,0.5298183988897419,0.5298183988897419,0.5298183988897419,0.5298183988897419,0.5298183988897419,,,
20260327_001755,QSAR_fish_toxicity,regression,HDMR-200,False,200,3,42,0.4721448434544165,201,43.8,0.8846973210712011,0.633041770624641,0.6338704734181939,0.003737484096409883,0.03663823140085444,0.018658243298301368,0.30799971262129106,0.16710004240453946,0.4246247452399351,0.005732302460144416,0.0006481072728160773,0.0013170443688461967,0.006483637666721163,0.025653010149299174,0.0014074390208415643,0.10000000000000002,0.8143387997534857,0.8744584939805942,200,2,False,2,2.0,0.0010000000000000002,41,0.0001,2.0,1,False,0.47710228857770604,0.47710228857770604,0.4765859816484413,0.4765859816484413,0.4721448434544165,0.4721448434544165,,,
20260327_001755,QSAR_fish_toxicity,regression,HDMR-200,False,200,4,42,0.557299278897079,201,35.39,0.938905785308915,0.645100488788197,0.6257254988722207,0.011877018648839742,0.013076142269905366,0.014248955679302297,0.17507597677899348,0.607287889879652,0.12485089145305725,0.005764403151103636,0.0023769115469634305,0.01363897995335567,0.005352135805701826,0.015022521271541071,0.011428173561584515,0.10000000000000002,0.7607661249689823,0.7876762215748194,200,6,False,10,0.03062289539988164,100.00000000000004,100,0.31255494951655155,0.0001,1,False,0.592686152278338,0.5670217432675927,0.5670217432675927,0.557299278897079,0.557299278897079,0.557299278897079,,,
20260327_001755,QSAR_fish_toxicity,regression,HDMR-200,False,200,5,42,0.5577707204096273,201,42.06,0.7912957184124926,0.6015920076808073,0.5756520923565212,0.004870562915027977,0.07530868252009852,0.04498415797500855,0.02205353204513011,0.04342461220358469,0.7692099306336024,0.0034155421464559417,0.004507825088240939,0.010688893868719277,0.0125130734411462,0.006558351554407285,0.0024648356085779123,0.005000000000000002,0.7548868634698269,0.7,6,49,True,5,0.005000000000000002,0.0010000000000000002,28,1.0,2.0,1,False,0.5656582593120671,0.5656582593120671,0.5656582593120671,0.5599916710290571,0.5599916710290571,0.5577707204096273,,,
20260327_001755,QSAR_fish_toxicity,regression,HDMR-200,False,200,6,42,0.5875628084675111,201,29.92,0.8303824284245911,0.6033817963268996,0.6191156795703081,0.03923842341668332,0.09868920634121453,0.007599577147316597,0.19305401276281411,0.28701381592821756,0.18846417913686833,0.03665037207202033,0.02744305502918253,0.02659961368911303,0.04341788956916042,0.0438256162523175,0.008004238655091655,0.024874700999609083,1.0,0.8484845552733395,8,15,True,2,0.005000000000000002,100.00000000000004,8,0.3379759038063862,0.0001,1,False,0.588137322777469,0.588137322777469,0.588137322777469,0.5875628084675111,0.5875628084675111,0.5875628084675111,,,
20260327_001755,QSAR_fish_toxicity,regression,HDMR-200,False,200,7,42,0.6313881389568347,201,50.36,0.9124816518487696,0.6424571127527516,0.5876887476932636,0.005697188432408777,0.009997971298313953,0.0029388769318483806,0.6122713408738492,0.031056728308957483,0.24074723972564854,0.0017446968211207398,0.0008320386507348486,0.021750137680571893,0.03187440513295065,0.03738447322738247,0.0037049029162130173,0.10000000000000002,0.6018520665528468,1.0,200,22,False,2,0.06593392773071924,100.00000000000004,100,0.0001,0.0001,1,False,0.6498598937663339,0.6498598937663339,0.6483578852967582,0.6313881389568347,0.6313881389568347,0.6313881389568347,,,
20260327_001755,QSAR_fish_toxicity,regression,HDMR-200,False,200,8,42,0.5162157384325091,201,46.44,0.9555366705985892,0.6933922470307865,0.5991961374269827,0.011561169333922185,0.11758479082206479,0.03504288157865637,0.2518909486685449,0.13110305088904148,0.3959012074181151,0.004349013019923096,0.008776508190519549,0.005895526852840867,0.00019074202158111527,0.005576825703559024,0.03212733550123155,0.01985621812131361,0.614268414675032,0.7,34,18,False,100,0.405278327492919,0.0010000000000000002,8,0.26733071231293676,2.0,1,False,0.5267103009920524,0.5240408153021241,0.5162157384325091,0.5162157384325091,0.5162157384325091,0.5162157384325091,,,
20260327_001755,QSAR_fish_toxicity,regression,A-HDMR-200,True,200,1,42,0.6521599598992769,302,64.76,0.8894728556828885,0.6544934693675184,0.6558995629215133,0.005291703495846176,0.0003161532641606212,9.508376854064677e-06,0.2184820165600572,0.7754824522509878,1.0218450902781302e-05,4.810652566212567e-06,0.00010652903300665929,2.2866891415144405e-05,4.089807089765102e-05,8.363362346395283e-05,0.00014920932984188685,0.005000000000000002,0.5796937037087974,1.0,20,10,False,3,2.0,0.023483581346291187,100,0.8559293445585249,1.1954559465218635,1,False,0.6619113187509355,0.6619113187509355,0.6560589820730692,0.6560589820730692,0.6560589820730692,0.6560589820730692,,,
20260327_001755,QSAR_fish_toxicity,regression,A-HDMR-200,True,200,2,42,0.5385183779606609,302,43.41,0.9191617373188774,0.6925907763773622,0.6651656609895469,6.414066835686116e-06,0.9008815906992267,8.673311243370164e-06,0.045855077563569664,0.052534020699792794,3.215401243609367e-05,0.00011903241466293433,4.438026374908273e-05,0.00017023475201554764,0.00017935996477921247,0.0001683937032860359,6.685484030007117e-07,0.005000000000000002,0.6364850299294663,0.7,12,1,True,2,0.36418404579117664,5.074987550316414,100,1.0,0.9972816925723078,1,False,0.5481147402469534,0.5481147402469534,0.5437311641734883,0.5385183779606609,0.5385183779606609,0.5385183779606609,,,
