dataset_name,task,method,metric_name,mean,std,n_folds,eff_dim_mean,runtime_min_total
Fiat500_used,regression,A-HDMR-200,RMSE,755.8616440128376,64.10844067012594,8,3.0,19.457333333333334
Fiat500_used,regression,A-HDMR-600,RMSE,746.3005576960048,59.2566071502047,8,2.625,44.4685
Fiat500_used,regression,HDMR-200,RMSE,752.934650212156,65.3413245577849,8,8.875,14.716000000000001
Fiat500_used,regression,Optuna-200,RMSE,742.8195481473365,62.41247358671566,8,,16.59616666666667
Fiat500_used,regression,RS-200,RMSE,749.5702128789425,62.47943290539996,8,,15.063166666666667
Fitness_Club,classification,A-HDMR-200,AUC,0.8080397659960235,0.046289569548590676,8,3.0,12.433166666666667
Fitness_Club,classification,A-HDMR-600,AUC,0.8085734925982013,0.04631384578452011,8,3.0,20.571833333333334
Fitness_Club,classification,HDMR-200,AUC,0.807748042853758,0.046850998252874886,8,8.25,5.876166666666666
Fitness_Club,classification,Optuna-200,AUC,0.8074090190979504,0.04644514781416254,8,,5.166333333333333
Fitness_Club,classification,RS-200,AUC,0.8058505133208829,0.04532605577324052,8,,4.5095
Food_Delivery_Time,regression,A-HDMR-200,RMSE,7.36929900764826,0.06090575425723696,8,2.75,192.93
Food_Delivery_Time,regression,A-HDMR-600,RMSE,7.371854536512402,0.05841886787342574,8,2.875,473.3606666666667
Food_Delivery_Time,regression,HDMR-200,RMSE,7.373579483199247,0.06273908009561312,8,8.0,111.4915
Food_Delivery_Time,regression,Optuna-200,RMSE,7.370791615695773,0.0628370284252554,8,,94.6
Food_Delivery_Time,regression,RS-200,RMSE,7.37117372232018,0.0626169412901736,8,,99.13083333333333
Is-this-a-good-customer,classification,A-HDMR-200,AUC,0.7555118375126297,0.060659454362126906,8,3.0,11.666166666666667
Is-this-a-good-customer,classification,A-HDMR-600,AUC,0.761565221135299,0.05400172685155776,8,3.0,22.005000000000003
Is-this-a-good-customer,classification,HDMR-200,AUC,0.7556873909249564,0.057128119884539696,8,9.0,7.2588333333333335
Is-this-a-good-customer,classification,Optuna-200,AUC,0.7553325870304032,0.060749103486745545,8,,5.3853333333333335
Is-this-a-good-customer,classification,RS-200,AUC,0.7530429985303573,0.0536439823150578,8,,5.230166666666666
Marketing_Campaign,classification,A-HDMR-200,AUC,0.8988730301795175,0.028488175116437718,8,2.875,49.75083333333333
Marketing_Campaign,classification,A-HDMR-600,AUC,0.9001342194189647,0.027630392868874087,8,3.0,96.2445
Marketing_Campaign,classification,HDMR-200,AUC,0.8976078274457043,0.026728570982629832,8,8.875,29.381500000000003
Marketing_Campaign,classification,Optuna-200,AUC,0.8989099772983997,0.02540328265098027,8,,19.492666666666665
Marketing_Campaign,classification,RS-200,AUC,0.8993907632958276,0.024215888137622765,8,,22.499166666666667
QSAR_fish_toxicity,regression,A-HDMR-200,RMSE,0.8842641681672977,0.0728714513561446,8,3.0,15.177333333333333
QSAR_fish_toxicity,regression,A-HDMR-600,RMSE,0.885548016906158,0.07466752556093484,8,2.75,46.99933333333333
QSAR_fish_toxicity,regression,HDMR-200,RMSE,0.8854974171784604,0.06748869990362001,8,9.0,11.6485
QSAR_fish_toxicity,regression,Optuna-200,RMSE,0.8981995009447465,0.073143417897872,8,,7.860666666666667
QSAR_fish_toxicity,regression,RS-200,RMSE,0.879935734016562,0.058812615084028866,8,,11.051166666666667
airfoil_self_noise,regression,A-HDMR-200,RMSE,1.3961285748028742,0.22934834017453465,8,1.0,83.42316666666667
airfoil_self_noise,regression,A-HDMR-600,RMSE,1.339223500573131,0.20047348782860638,8,1.0,264.2418333333333
airfoil_self_noise,regression,HDMR-200,RMSE,1.4613631780339844,0.25832731232249523,8,5.5,62.04166666666667
airfoil_self_noise,regression,Optuna-200,RMSE,1.354779092309468,0.21720177929872794,8,,98.202
airfoil_self_noise,regression,RS-200,RMSE,1.4011958710541625,0.23091806388673555,8,,54.23266666666667
concrete_compressive_strength,regression,A-HDMR-200,RMSE,4.175498624639766,0.49563567303725026,8,1.875,87.20400000000001
concrete_compressive_strength,regression,A-HDMR-600,RMSE,4.149183236731427,0.4035250967223712,8,2.125,146.19916666666666
concrete_compressive_strength,regression,HDMR-200,RMSE,4.245738853006293,0.5229997276068622,8,5.125,54.6815
concrete_compressive_strength,regression,Optuna-200,RMSE,4.050226674328774,0.5588510618783367,8,,33.78516666666667
concrete_compressive_strength,regression,RS-200,RMSE,4.152807342429349,0.42806888273311305,8,,48.75983333333333
credit-g,classification,A-HDMR-200,AUC,0.7746330103408143,0.02721969860185673,8,3.0,20.236666666666668
credit-g,classification,A-HDMR-600,AUC,0.7727396051182349,0.03711697638943411,8,2.75,31.903
